"선수명","생년월일","입단연도","은퇴연도","경력","경기","생월","포지션"
"박은우",1971-05-25,1996,1996,1,1,5,"타자"
"김도완",1971-10-27,1996,1996,1,10,10,"투수"
"박석안",1972-04-20,1996,1996,1,6,4,"타자"
"최철민",1972-05-03,1996,1997,2,48,5,"타자"
"홍광천",1972-06-22,1996,1996,1,2,6,"타자"
"김대헌",1972-06-30,1996,1997,2,19,6,"타자"
"김선섭",1973-01-16,1996,2000,3,84,1,"타자"
"최원호",1973-03-13,1996,2009,14,309,3,"투수"
"김영복",1973-03-15,1996,1996,1,4,3,"투수"
"전병호",1973-03-23,1996,2008,12,431,3,"투수"
"최재호",1973-03-27,1996,2000,4,123,3,"투수"
"정영환",1973-04-10,1996,1998,3,9,4,"투수"
"장정석",1973-04-12,1996,2003,8,580,4,"타자"
"석수철",1973-04-25,1996,1996,1,114,4,"타자"
"강준기",1973-04-28,1996,1996,1,4,4,"타자"
"임수민",1973-05-31,1996,2006,9,790,5,"타자"
"김대익",1973-06-03,1996,2007,12,1193,6,"타자"
"최창양",1973-06-03,1996,2000,5,75,6,"투수"
"홍원기",1973-06-05,1996,2007,12,1043,6,"타자"
"최기문",1973-06-10,1996,2009,13,1075,6,"타자"
"설종진",1973-06-16,1996,1996,1,9,6,"타자"
"강영수",1973-06-19,1996,1996,1,35,6,"타자"
"김형남",1973-06-28,1996,1997,2,72,6,"타자"
"엄종수",1973-07-09,1996,1996,1,18,7,"타자"
"박주언",1973-07-13,1996,2002,6,79,7,"투수"
"박경호",1973-07-19,1996,1999,4,103,7,"타자"
"손혁",1973-08-01,1996,2004,8,107,8,"투수"
"오중석",1973-08-05,1996,1997,2,12,8,"타자"
"우승진",1973-08-10,1996,1996,1,6,8,"타자"
"안명성",1973-08-17,1996,1997,2,91,8,"타자"
"박재홍",1973-09-07,1996,2012,17,1797,9,"타자"
"김종국",1973-09-14,1996,2009,14,1359,9,"타자"
"김현민",1973-09-15,1996,2002,6,210,9,"타자"
"차명주",1973-09-22,1996,2006,11,613,9,"투수"
"최정환",1973-09-26,1996,1999,4,94,9,"투수"
"이영우",1973-11-27,1996,2010,13,1312,11,"타자"
"배정훈",1973-12-20,1996,1998,3,93,12,"타자"
"조효상",1974-01-26,1996,2005,10,198,1,"타자"
"홍재호",1974-02-02,1996,1996,1,3,2,"타자"
"박태순",1974-02-08,1996,1999,4,17,2,"투수"
"신영균",1974-02-16,1996,2000,5,41,2,"투수"
"정경배",1974-02-20,1996,2009,14,1322,2,"타자"
"오진희",1974-08-19,1996,1996,1,1,8,"타자"
"이용훈",1975-12-14,1996,1996,1,11,12,"투수"
"여준홍",1976-04-05,1996,1996,1,7,4,"투수"
"김정훈",1976-05-05,1996,1996,1,5,5,"투수"
"장형석",1976-06-06,1996,1997,2,5,6,"투수"
"김정한",1976-11-08,1996,1996,1,11,11,"타자"
"이재섭",1976-12-23,1996,1996,1,2,12,"투수"
"방동민",1977-01-20,1996,1996,1,5,1,"타자"
"이계성",1977-02-08,1996,2005,10,408,2,"타자"
"김상진",1977-03-09,1996,1998,3,84,3,"투수"
"하춘동",1977-04-19,1996,2002,4,60,4,"타자"
"진정민",1977-05-18,1996,1996,1,5,5,"타자"
"김수연",1977-05-28,1996,2008,10,841,5,"타자"
"황성기",1977-06-09,1996,2002,5,69,6,"타자"
"김기진",1977-07-04,1996,1996,1,4,7,"투수"
"이봉우",1977-07-30,1996,1998,3,158,7,"타자"
"한명윤",1977-09-06,1996,1998,3,50,9,"투수"
"김헌수",1977-09-07,1996,1996,1,9,9,"타자"
"이호균",1977-09-18,1996,1996,1,1,9,"타자"
"정학수",1977-12-01,1996,1996,1,3,12,"타자"
"최인선",1971-07-10,1997,1997,1,2,7,"타자"
"문동환",1972-05-08,1997,2007,10,228,5,"투수"
"문희성",1973-02-22,1997,2006,9,412,2,"타자"
"김동호",1973-05-24,1997,2002,4,65,5,"투수"
"최승우",1973-05-27,1997,1998,2,9,5,"타자"
"오철민",1973-05-28,1997,2005,9,241,5,"투수"
"허유신",1973-06-03,1997,1998,2,38,6,"타자"
"설종진",1973-06-16,1997,2000,3,5,6,"투수"
"김창희",1973-07-03,1997,2009,13,1345,7,"타자"
"박근영",1973-08-02,1997,1997,1,3,8,"타자"
"임선동",1973-08-04,1997,2006,10,130,8,"투수"
"정수찬",1973-12-01,1997,2001,4,36,12,"투수"
"임종수",1973-12-02,1997,1997,1,1,12,"타자"
"황성관",1974-01-15,1997,2001,4,213,1,"타자"
"김환조",1974-02-10,1997,1997,1,12,2,"투수"
"임봉춘",1974-02-10,1997,2002,6,37,2,"투수"
"이경태",1974-02-20,1997,1997,1,1,2,"타자"
"최만호",1974-03-04,1997,2009,12,669,3,"타자"
"송재익",1974-03-27,1997,2004,7,486,3,"타자"
"장성국",1974-03-30,1997,2002,4,36,3,"타자"
"김상현",1974-04-08,1997,1998,2,21,4,"투수"
"윤인수",1974-04-12,1997,1997,1,10,4,"타자"
"김도형",1974-04-24,1997,1997,1,11,4,"타자"
"신창수",1974-04-25,1997,1997,1,1,4,"투수"
"노상진",1974-04-26,1997,1997,1,2,4,"타자"
"강규철",1974-05-05,1997,2001,5,51,5,"타자"
"장석희",1974-05-08,1997,1997,1,19,5,"타자"
"조남기",1974-05-17,1997,1999,2,25,5,"타자"
"이경필",1974-05-21,1997,2007,8,161,5,"투수"
"이영주",1974-05-25,1997,1998,2,21,5,"타자"
"장순재",1974-06-27,1997,1997,1,5,6,"타자"
"백재호",1974-06-30,1997,2007,11,1007,6,"타자"
"이동욱",1974-07-17,1997,2003,6,143,7,"타자"
"한익희",1974-08-09,1997,1997,1,1,8,"타자"
"강대호",1974-08-15,1997,1998,2,40,8,"타자"
"안재만",1974-10-02,1997,2008,12,584,10,"타자"
"김도균",1974-10-08,1997,1997,1,9,10,"타자"
"오상민",1974-10-20,1997,2011,15,736,10,"투수"
"강신창",1974-11-10,1997,1998,2,9,11,"타자"
"전승남",1974-11-26,1997,2004,8,221,11,"투수"
"안세준",1974-12-12,1997,1997,1,4,12,"타자"
"장문석",1974-12-15,1997,2008,10,287,12,"투수"
"김영수",1975-01-15,1997,2009,11,270,1,"투수"
"변대수",1975-01-18,1997,1997,1,24,1,"투수"
"조유신",1975-02-07,1997,2000,3,74,2,"타자"
"김해님",1975-02-07,1997,2007,8,247,2,"투수"
"김형성",1976-02-28,1997,1998,2,66,2,"타자"
"최용호",1976-04-30,1997,2004,8,154,4,"투수"
"나광호",1977-01-15,1997,1998,2,10,1,"타자"
"김동현",1977-04-12,1997,1997,1,3,4,"타자"
"김민기",1977-05-19,1997,2009,11,307,5,"투수"
"심광호",1977-08-01,1997,2012,13,512,8,"타자"
"이동욱",1977-08-01,1997,1997,1,2,8,"타자"
"김형주",1977-08-11,1997,1997,1,1,8,"투수"
"임노병",1977-08-27,1997,2001,2,10,8,"타자"
"정성훈",1977-12-09,1997,2007,8,213,12,"투수"
"조승현",1978-04-05,1997,2005,5,70,4,"타자"
"이득수",1978-04-25,1997,1997,1,2,4,"타자"
"정인석",1978-10-05,1997,1999,3,6,10,"투수"
"손지환",1978-11-13,1997,2010,14,908,11,"타자"
"조경환",1972-08-27,1998,2007,10,897,8,"타자"
"안희봉",1972-10-03,1998,2001,4,43,10,"타자"
"서한규",1973-03-28,1998,2007,10,457,3,"타자"
"정원배",1973-08-01,1998,2000,3,46,8,"타자"
"곽현희",1973-08-06,1998,2004,7,117,8,"투수"
"강동우",1974-04-20,1998,2013,15,1427,4,"타자"
"문재성",1974-07-06,1998,1998,1,10,7,"타자"
"이준용",1974-08-02,1998,1998,1,25,8,"타자"
"방수환",1975-01-17,1998,1998,1,3,1,"타자"
"김상호",1975-03-11,1998,2000,3,10,3,"타자"
"윤석권",1975-03-21,1998,1998,1,3,3,"타자"
"손인호",1975-04-03,1998,2012,13,908,4,"타자"
"홍민구",1975-04-12,1998,2001,4,21,4,"투수"
"윤재국",1975-05-05,1998,2009,10,714,5,"타자"
"엄정대",1975-05-10,1998,2003,6,175,5,"타자"
"고호봉",1975-06-04,1998,1998,1,1,6,"투수"
"고승환",1975-06-07,1998,1998,1,1,6,"투수"
"이우석",1975-06-12,1998,2000,3,49,6,"타자"
"김수관",1975-08-05,1998,2002,5,100,8,"타자"
"오충원",1975-08-12,1998,1999,2,20,8,"타자"
"강민규",1975-10-10,1998,2001,3,129,10,"타자"
"조은진",1975-10-28,1998,1998,1,30,10,"타자"
"김경태",1975-11-06,1998,2009,10,206,11,"투수"
"신경현",1975-11-28,1998,2012,13,976,11,"타자"
"엄병열",1976-01-12,1998,2001,4,25,1,"투수"
"김기성",1976-02-02,1998,1998,1,8,2,"타자"
"김경진",1976-03-13,1998,1999,2,21,3,"투수"
"지승준",1977-06-07,1998,1999,2,60,6,"타자"
"이경원",1977-06-23,1998,2005,4,38,6,"투수"
"정수성",1978-03-04,1998,2013,14,722,3,"타자"
"홍의현",1978-03-12,1998,1998,1,12,3,"투수"
"이상호",1978-04-24,1998,1998,1,1,4,"타자"
"김윤일",1978-05-22,1998,1999,2,12,5,"타자"
"정인호",1978-06-06,1998,1998,1,4,6,"타자"
"류기중",1978-09-19,1998,1999,2,10,9,"투수"
"김진수",1979-04-19,1998,2009,6,122,4,"타자"
"소소경",1979-07-19,1998,2005,6,58,7,"투수"
"김수경",1979-08-20,1998,2012,15,346,8,"투수"
"김재현",1979-09-07,1998,2010,7,126,9,"투수"
"김정열",1979-12-03,1998,1999,2,7,12,"투수"
"김진웅",1980-02-20,1998,2005,8,234,2,"투수"
"조웅천",1971-03-17,1999,2008,3,7,3,"타자"
"유현승",1971-03-27,1999,1999,1,1,3,"타자"
"강필선",1972-05-31,1999,2001,3,5,5,"타자"
"심재학",1972-10-18,1999,1999,1,15,10,"투수"
"이정길",1973-03-19,1999,1999,1,5,3,"투수"
"오규택",1973-08-01,1999,2000,2,3,8,"타자"
"김지훈",1973-09-02,1999,2004,5,216,9,"타자"
"박연수",1974-01-14,1999,2008,10,488,1,"타자"
"김혁섭",1974-05-05,1999,2001,2,25,5,"투수"
"박노식",1974-05-08,1999,1999,1,1,5,"투수"
"정회선",1974-05-26,1999,1999,1,5,5,"타자"
"강혁",1974-08-25,1999,2007,7,428,8,"타자"
"조현",1974-10-17,1999,1999,1,2,10,"타자"
"장성진",1975-04-07,1999,2002,4,134,4,"투수"
"심재윤",1975-08-24,1999,2001,3,140,8,"타자"
"이병수",1975-09-23,1999,1999,1,1,9,"타자"
"채종국",1975-10-24,1999,2008,9,659,10,"타자"
"이정훈",1975-11-23,1999,1999,1,5,11,"타자"
"김상태",1976-04-19,1999,2001,2,46,4,"투수"
"박장희",1976-04-23,1999,2002,4,123,4,"투수"
"황우구",1976-05-03,1999,2004,6,377,5,"타자"
"장일현",1976-05-12,1999,2005,5,411,5,"타자"
"장영균",1976-05-20,1999,2003,5,56,5,"타자"
"오창선",1976-06-02,1999,2000,2,7,6,"투수"
"정원욱",1976-06-17,1999,2002,4,71,6,"투수"
"윤근주",1976-06-30,1999,2001,3,17,6,"투수"
"한규식",1976-09-14,1999,2007,7,335,9,"타자"
"이준호",1976-10-08,1999,2002,3,35,10,"투수"
"황두성",1976-11-16,1999,2009,11,243,11,"투수"
"김기환",1976-12-07,1999,2000,2,8,12,"타자"
"김경진",1976-12-21,1999,2007,7,201,12,"타자"
"라형진",1977-02-05,1999,2005,6,159,2,"투수"
"이동은",1977-02-07,1999,2001,3,51,2,"투수"
"오주상",1977-11-20,1999,1999,1,2,11,"타자"
"김일경",1978-07-01,1999,2012,13,800,7,"타자"
"문남열",1978-10-17,1999,2003,3,37,10,"투수"
"정명수",1979-01-12,1999,1999,1,1,1,"투수"
"이경수",1979-06-23,1999,2000,2,10,6,"투수"
"윤상무",1979-07-20,1999,2004,3,11,7,"타자"
"정현택",1980-02-22,1999,2001,3,55,2,"타자"
"조재영",1980-03-15,1999,2001,3,14,3,"타자"
"구자운",1980-06-19,1999,2010,8,214,6,"투수"
"최경환",1972-05-12,2000,2009,10,810,5,"타자"
"장재명",1972-05-25,2000,2000,1,9,5,"타자"
"이대진",1974-06-09,2000,2002,2,24,6,"타자"
"김필중",1975-05-16,2000,2002,2,21,5,"타자"
"김장백",1975-09-23,2000,2003,4,49,9,"투수"
"전영삼",1975-11-19,2000,2000,1,2,11,"투수"
"장재혁",1976-03-16,2000,2002,2,24,3,"투수"
"박경진",1976-03-22,2000,2005,6,202,3,"타자"
"최영완",1976-05-03,2000,2002,3,38,5,"투수"
"차정국",1976-08-07,2000,2000,1,1,8,"타자"
"조상수",1976-08-24,2000,2001,2,3,8,"타자"
"김무성",1976-11-25,2000,2001,2,2,11,"타자"
"이상현",1976-12-11,2000,2004,2,5,12,"타자"
"전근표",1977-03-05,2000,2010,10,406,3,"타자"
"박창원",1977-03-17,2000,2000,1,2,3,"타자"
"박승민",1977-03-18,2000,2012,10,264,3,"투수"
"정원석",1977-03-27,2000,2012,10,542,3,"타자"
"김병준",1977-04-01,2000,2002,3,56,4,"투수"
"윤현식",1977-04-03,2000,2004,5,88,4,"타자"
"임학수",1977-04-03,2000,2000,1,16,4,"타자"
"조홍준",1977-04-27,2000,2000,1,27,4,"타자"
"신철인",1977-05-22,2000,2009,9,335,5,"투수"
"박찬협",1977-05-28,2000,2001,2,2,5,"투수"
"경헌호",1977-07-25,2000,2011,12,337,7,"투수"
"남기헌",1977-08-01,2000,2001,2,79,8,"타자"
"윤형진",1977-09-13,2000,2007,7,87,9,"투수"
"신주일",1977-09-18,2000,2004,3,53,9,"타자"
"양현석",1977-10-20,2000,2007,6,400,10,"타자"
"박정환",1977-10-23,2000,2011,12,598,10,"타자"
"장교성",1977-10-27,2000,2006,4,139,10,"타자"
"정진용",1977-12-01,2000,2001,2,39,12,"투수"
"채종범",1977-12-03,2000,2010,8,681,12,"타자"
"홍세완",1978-01-16,2000,2010,10,817,1,"타자"
"최길성",1978-02-06,2000,2007,6,170,2,"타자"
"최승환",1978-02-25,2000,2013,11,318,2,"타자"
"전하진",1979-02-11,2000,2000,1,7,2,"투수"
"박영진",1979-03-19,2000,2000,1,20,3,"투수"
"김성준",1979-06-20,2000,2000,1,2,6,"투수"
"장준관",1981-04-14,2000,2007,6,67,4,"투수"
"강민영",1981-07-04,2000,2002,3,54,7,"투수"
"허진석",1981-07-19,2000,2003,3,19,7,"투수"
"조규수",1981-09-15,2000,2010,7,156,9,"투수"
"배홍철",1982-02-24,2000,2000,1,7,2,"투수"
"김성균",1976-01-25,2001,2002,2,14,1,"타자"
"조정권",1976-02-25,2001,2003,3,127,2,"타자"
"구민호",1977-03-11,2001,2001,1,4,3,"타자"
"박재형",1977-04-09,2001,2001,1,2,4,"투수"
"박효순",1977-04-27,2001,2001,1,1,4,"투수"
"조병찬",1977-05-17,2001,2001,1,1,5,"타자"
"방진호",1977-07-27,2001,2002,2,39,7,"타자"
"김재학",1978-02-18,2001,2004,4,37,2,"타자"
"김무성",1978-03-02,2001,2003,2,3,3,"타자"
"이성수",1978-03-08,2001,2001,1,7,3,"투수"
"권오현",1978-03-12,2001,2003,3,103,3,"타자"
"서창호",1978-06-03,2001,2002,2,27,6,"타자"
"고상천",1978-06-10,2001,2004,4,15,6,"투수"
"이근용",1978-06-16,2001,2001,1,2,6,"투수"
"김기동",1978-08-05,2001,2001,1,1,8,"타자"
"박상민",1978-08-11,2001,2002,2,37,8,"타자"
"김덕용",1978-08-16,2001,2001,1,3,8,"투수"
"지승민",1978-09-12,2001,2010,7,173,9,"투수"
"심제훈",1978-10-11,2001,2004,3,62,10,"타자"
"김장현",1978-10-16,2001,2004,4,124,10,"투수"
"장인규",1978-10-31,2001,2006,3,4,10,"투수"
"이송영",1979-01-17,2001,2004,2,2,1,"타자"
"최경훈",1979-01-22,2001,2002,2,25,1,"투수"
"오우진",1979-01-30,2001,2003,3,19,1,"타자"
"오세학",1979-09-09,2001,2001,1,8,9,"타자"
"최동연",1979-09-30,2001,2001,1,1,9,"타자"
"송원국",1979-10-26,2001,2002,2,81,10,"타자"
"정정오",1980-02-10,2001,2001,1,1,2,"타자"
"이대일",1980-08-01,2001,2002,2,3,8,"투수"
"김동건",1982-03-07,2001,2013,8,76,3,"타자"
"김민철",1982-03-14,2001,2006,6,333,3,"타자"
"김덕윤",1982-04-21,2001,2008,6,113,4,"투수"
"박정근",1982-04-23,2001,2006,3,16,4,"투수"
"박용진",1982-04-24,2001,2003,2,4,4,"투수"
"이정호",1982-04-27,2001,2010,6,35,4,"투수"
"김주철",1982-05-05,2001,2005,5,41,5,"투수"
"정원",1982-06-01,2001,2007,6,110,6,"투수"
"이대호",1982-06-21,2001,2011,11,1150,6,"타자"
"오승준",1982-08-06,2001,2004,3,23,8,"투수"
"김태구",1982-09-27,2001,2004,3,21,9,"투수"
"김백만",1982-10-12,2001,2009,6,78,10,"투수"
"김우석",1975-09-02,2002,2008,7,161,9,"타자"
"정성열",1976-05-16,2002,2003,2,17,5,"타자"
"김학재",1976-08-11,2002,2002,1,2,8,"타자"
"서성민",1976-08-22,2002,2002,1,36,8,"타자"
"신원주",1976-10-14,2002,2002,1,2,10,"투수"
"김풍철",1976-10-20,2002,2002,1,25,10,"투수"
"강병식",1977-04-23,2002,2012,11,761,4,"타자"
"박봉수",1977-07-16,2002,2002,1,8,7,"타자"
"조윤채",1977-08-10,2002,2004,3,94,8,"타자"
"윤태수",1978-04-05,2002,2003,2,9,4,"타자"
"박우호",1978-05-15,2002,2002,1,12,5,"타자"
"김대원",1978-05-18,2002,2002,1,15,5,"타자"
"김재구",1978-05-31,2002,2008,4,89,5,"타자"
"이준민",1979-01-23,2002,2003,2,11,1,"타자"
"조용준",1979-03-17,2002,2009,5,234,3,"투수"
"유재웅",1979-05-20,2002,2012,8,392,5,"타자"
"송혁",1979-05-21,2002,2003,2,14,5,"타자"
"김정현",1979-05-27,2002,2002,1,24,5,"타자"
"조민철",1979-06-08,2002,2003,2,17,6,"타자"
"변인재",1979-06-11,2002,2003,2,31,6,"투수"
"최환인",1979-06-15,2002,2002,1,1,6,"투수"
"조현수",1979-06-27,2002,2005,4,222,6,"타자"
"서승화",1979-07-13,2002,2010,7,147,7,"투수"
"강철민",1979-07-22,2002,2010,6,120,7,"투수"
"강귀태",1979-08-12,2002,2012,11,816,8,"타자"
"권오원",1979-08-16,2002,2009,5,72,8,"투수"
"윤형국",1979-08-20,2002,2004,3,25,8,"타자"
"김용우",1979-09-12,2002,2009,6,135,9,"타자"
"허일상",1979-12-21,2002,2009,4,129,12,"타자"
"조재호",1980-01-10,2002,2012,9,382,1,"타자"
"이명호",1981-02-10,2002,2003,2,32,2,"투수"
"이윤학",1982-02-25,2002,2008,2,6,2,"투수"
"김제빈",1982-03-31,2002,2002,1,17,3,"투수"
"유혜정",1982-06-20,2002,2004,3,11,6,"투수"
"조형식",1982-07-09,2002,2006,3,25,7,"투수"
"이경환",1983-05-21,2002,2009,4,29,5,"타자"
"이태호",1983-09-24,2002,2007,6,81,9,"타자"
"조진호",1975-08-16,2003,2009,3,34,8,"투수"
"이승준",1976-07-03,2003,2006,4,131,7,"타자"
"이준",1977-07-17,2003,2003,1,1,7,"투수"
"오태근",1978-04-05,2003,2009,7,214,4,"타자"
"박만채",1978-08-02,2003,2006,4,32,8,"투수"
"임동규",1979-06-03,2003,2007,4,87,6,"투수"
"김광우",1979-09-12,2003,2005,3,61,9,"투수"
"김문수",1979-09-30,2003,2008,4,22,9,"투수"
"김세중",1979-10-20,2003,2003,1,1,10,"타자"
"김주용",1980-01-17,2003,2003,1,3,1,"투수"
"이민택",1980-02-23,2003,2003,1,9,2,"타자"
"신동민",1980-03-14,2003,2004,2,10,3,"투수"
"정종수",1980-05-08,2003,2008,2,18,5,"타자"
"이석만",1980-05-08,2003,2005,2,8,5,"투수"
"백승훈",1980-05-16,2003,2004,2,7,5,"타자"
"김형철",1980-05-26,2003,2010,8,167,5,"타자"
"송수근",1980-06-26,2003,2004,2,30,6,"타자"
"정보명",1980-08-23,2003,2013,9,439,8,"타자"
"이인구",1980-11-07,2003,2013,9,347,11,"타자"
"백대운",1980-11-21,2003,2003,1,9,11,"타자"
"문용민",1980-12-06,2003,2008,3,59,12,"투수"
"신민기",1980-12-11,2003,2003,1,21,12,"타자"
"양성제",1980-12-16,2003,2004,2,52,12,"투수"
"최동락",1980-12-24,2003,2003,1,26,12,"타자"
"김장준",1982-05-11,2003,2005,2,12,5,"투수"
"곽용섭",1983-02-03,2003,2009,4,15,2,"타자"
"박두일",1983-03-25,2003,2003,1,1,3,"타자"
"정병희",1983-05-25,2003,2006,4,103,5,"투수"
"김광희",1983-07-23,2003,2003,1,6,7,"타자"
"신주영",1984-02-15,2003,2012,6,85,2,"투수"
"김주호",1984-04-01,2003,2006,4,76,4,"타자"
"이정상",1984-07-11,2003,2004,2,14,7,"타자"
"김휘곤",1984-07-28,2003,2008,2,2,7,"투수"
"이경민",1984-07-31,2003,2003,1,1,7,"투수"
"맹진국",1984-08-28,2003,2004,2,14,8,"타자"
"고우석",1984-11-03,2003,2012,7,86,11,"투수"
"김원",1978-09-23,2004,2004,1,5,9,"타자"
"손용수",1979-06-16,2004,2004,1,1,6,"투수"
"이동현",1979-11-15,2004,2010,6,104,11,"투수"
"김수훈",1980-07-10,2004,2004,1,1,7,"투수"
"박강우",1980-07-19,2004,2004,1,1,7,"투수"
"윤경영",1980-08-12,2004,2010,3,10,8,"투수"
"조인신",1980-08-14,2004,2005,2,49,8,"타자"
"이상화",1980-09-15,2004,2011,6,103,9,"투수"
"박진환",1981-03-10,2004,2011,4,66,3,"타자"
"이창훈",1981-03-25,2004,2004,1,25,3,"타자"
"조문기",1981-04-12,2004,2004,1,1,4,"타자"
"홍마태",1981-05-05,2004,2004,1,6,5,"타자"
"방승재",1981-05-10,2004,2005,2,16,5,"타자"
"민경수",1981-05-19,2004,2010,5,148,5,"투수"
"황이갑",1981-05-22,2004,2004,1,5,5,"타자"
"김종민",1981-06-30,2004,2006,3,3,6,"투수"
"송현우",1981-09-16,2004,2008,5,70,9,"투수"
"권영근",1981-11-16,2004,2005,2,12,11,"타자"
"서정호",1981-12-24,2004,2009,4,24,12,"타자"
"허용",1982-02-03,2004,2004,1,1,2,"타자"
"성민국",1982-02-09,2004,2004,1,4,2,"타자"
"유영민",1982-03-01,2004,2004,1,2,3,"투수"
"박창근",1983-02-25,2004,2004,1,14,2,"투수"
"양승학",1984-01-20,2004,2009,3,47,1,"타자"
"최민준",1984-04-05,2004,2005,2,15,4,"타자"
"김만윤",1984-07-23,2004,2004,1,7,7,"타자"
"김영복",1985-02-17,2004,2006,3,34,2,"타자"
"이경민",1985-03-07,2004,2005,2,3,3,"투수"
"정우람",1985-06-01,2004,2012,9,531,6,"투수"
"이원희",1985-07-15,2004,2007,4,51,7,"투수"
"박권수",1985-08-12,2004,2004,1,1,8,"투수"
"김무학",1985-09-04,2004,2004,1,1,9,"투수"
"김종성",1985-10-03,2004,2004,1,2,10,"타자"
"조성민",1973-04-05,2005,2007,3,35,4,"투수"
"허연철",1980-08-07,2005,2005,1,10,8,"타자"
"손기현",1981-03-03,2005,2005,1,4,3,"투수"
"최혁길",1981-03-25,2005,2005,1,4,3,"투수"
"이상현",1981-04-05,2005,2005,1,11,4,"투수"
"김성호",1981-04-30,2005,2005,1,2,4,"타자"
"이영수",1981-05-09,2005,2010,3,61,5,"타자"
"권민성",1981-05-31,2005,2005,1,10,5,"타자"
"이상우",1981-08-13,2005,2005,1,1,8,"투수"
"주창훈",1981-12-17,2005,2005,1,1,12,"타자"
"이동훈",1981-12-25,2005,2009,5,21,12,"타자"
"서민욱",1982-01-09,2005,2007,3,26,1,"투수"
"홍성수",1982-02-05,2005,2005,1,1,2,"투수"
"황준영",1982-03-11,2005,2006,2,19,3,"타자"
"손상정",1982-04-07,2005,2005,1,6,4,"투수"
"임성민",1982-06-18,2005,2005,1,47,6,"타자"
"백정훈",1982-06-24,2005,2005,1,1,6,"타자"
"송산",1982-07-02,2005,2012,5,247,7,"타자"
"손승현",1982-07-08,2005,2009,4,19,7,"타자"
"오승환",1982-07-15,2005,2013,9,444,7,"투수"
"정희상",1982-08-13,2005,2010,3,74,8,"타자"
"차정민",1982-11-23,2005,2011,5,69,11,"투수"
"윤승균",1983-01-07,2005,2006,2,120,1,"타자"
"강관식",1984-04-12,2005,2005,1,1,4,"투수"
"유덕형",1984-05-26,2005,2007,2,6,5,"타자"
"김혜겸",1985-01-05,2005,2007,2,9,1,"타자"
"최혁권",1985-01-16,2005,2005,1,3,1,"투수"
"장찬",1985-06-12,2005,2006,2,10,6,"투수"
"김수화",1986-01-12,2005,2006,2,23,1,"투수"
"이보근",1986-04-30,2005,2013,9,265,4,"투수"
"이왕기",1986-05-28,2005,2007,3,104,5,"투수"
"윤석민",1986-07-24,2005,2013,9,303,7,"투수"
"김명제",1987-01-05,2005,2009,5,137,1,"투수"
"정재훈",1981-05-06,2006,2007,2,33,5,"투수"
"강유삼",1981-07-25,2006,2006,1,1,7,"투수"
"백준영",1982-05-18,2006,2008,2,4,5,"투수"
"이대현",1982-06-09,2006,2006,1,4,6,"투수"
"여승현",1982-06-11,2006,2006,1,2,6,"투수"
"오재필",1982-07-27,2006,2013,5,162,7,"타자"
"이승엽",1982-11-28,2006,2006,1,12,11,"타자"
"장태종",1983-03-08,2006,2008,2,9,3,"투수"
"정홍준",1983-05-25,2006,2009,3,27,5,"투수"
"연경흠",1983-09-14,2006,2013,6,345,9,"타자"
"추경식",1983-11-19,2006,2006,1,13,11,"타자"
"김정환",1984-01-21,2006,2007,2,9,1,"투수"
"임재청",1984-02-21,2006,2006,1,8,2,"투수"
"송수",1984-03-04,2006,2006,1,9,3,"타자"
"김태환",1985-03-30,2006,2006,1,3,3,"투수"
"채형직",1986-02-26,2006,2006,1,26,2,"투수"
"김유신",1986-05-01,2006,2009,4,5,5,"투수"
"이호성",1986-08-15,2006,2006,1,1,8,"타자"
"박가람",1986-11-07,2006,2006,1,6,11,"타자"
"류현진",1987-03-25,2006,2012,7,190,3,"투수"
"손영민",1987-04-28,2006,2012,7,313,4,"투수"
"권윤민",1979-01-22,2007,2007,1,11,1,"타자"
"이승학",1979-06-02,2007,2008,2,49,6,"투수"
"권도영",1981-02-11,2007,2010,4,166,2,"타자"
"김용섭",1983-01-18,2007,2011,2,3,1,"타자"
"박도현",1983-04-12,2007,2009,2,14,4,"타자"
"박정규",1983-04-17,2007,2009,3,26,4,"투수"
"홍유택",1983-07-16,2007,2007,1,6,7,"타자"
"김경선",1983-08-20,2007,2008,2,13,8,"투수"
"조순권",1983-10-28,2007,2008,2,13,10,"투수"
"이강서",1984-01-10,2007,2007,1,15,1,"타자"
"이승주",1984-04-13,2007,2011,2,12,4,"타자"
"서정",1984-04-16,2007,2007,1,1,4,"타자"
"김이슬",1984-06-15,2007,2009,3,34,6,"투수"
"오준형",1984-07-21,2007,2013,5,54,7,"투수"
"이창석",1984-12-15,2007,2007,1,3,12,"타자"
"김동영",1985-04-02,2007,2010,3,23,4,"타자"
"오성민",1985-11-06,2007,2011,2,4,11,"투수"
"김정수",1986-03-15,2007,2007,1,3,3,"타자"
"유용목",1986-06-10,2007,2009,3,13,6,"타자"
"유선정",1986-08-21,2007,2011,5,143,8,"타자"
"김하람",1986-09-11,2007,2007,1,1,9,"타자"
"권덕준",1987-01-20,2007,2007,1,1,1,"투수"
"박민주",1987-07-23,2007,2007,1,1,7,"투수"
"조용훈",1987-10-29,2007,2009,3,150,10,"투수"
"이두환",1988-03-16,2007,2010,2,14,3,"타자"
"최유건",1988-08-02,2007,2008,2,2,8,"투수"
"이원재",1988-12-01,2007,2012,4,24,12,"투수"
"김일엽",1980-02-15,2008,2013,6,117,2,"투수"
